lovme	100016	1000227	0	0
huawei	100030	1001575	3	0
vivo	100016	1000319	6	0
samsung	100023	1000302	2	0
oppo	100029	1001489	4	0
vivo	100027	-	16	0
others	100012	1000224	1	0
coolpad	100011	1000086	1	0
boway	100020	-	1	0
vivo	100017	1001647	18	0
vivo	100003	1000200	7	0
vivo	100013	1000173	5	0
samsung	100004	-	1	0
gionee	100016	1000078	1	0
xiaomi	100010	1000039	2	0
oppo	100028	-	10	0
samsung	100019	1000022	5	0
xiaomi	100010	1000031	4	0
xiaomi	100010	1000037	2	0
xiaomi	100010	1000034	6	0
apple	100010	1000098	20	0
letv	100018	-	1	0
others	100025	1000148	1	0
xiaomi	100006	-	6	0
vivo	100003	1000026	24	0
xiaomi	100004	1000306	1	0
meizu	100012	1000099	3	0
letv	100015	1000040	1	0
apple	100001	100001	28	0
apple	100019	1001693	19	0
xiaomi	100004	1000237	3	0
oppo	100013	1000114	8	0
vivo	100020	1001595	0	0
apple	100009	100009	26	0
xiaomi	100016	1000243	2	0
xiaomi	100016	1000247	5	0
vivo	100023	1000138	5	0
apple	100020	1001573	3	0
samsung	100022	100022	15	0
vivo	100028	1000354	10	0
vivo	100023	1000131	2	0
vivo	100007	1000246	3	0
oppo	100028	1000383	1	0
huawei	100003	1000065	7	0
samsung	100014	1000295	0	0
huawei	100003	1000067	15	0
huawei	100003	1000066	17	0
vivo	100019	1000022	16	0
k-touch	100004	1000102	1	0
yulong	100023	-	1	0
nubia	100019	-	1	0
vivo	100019	1000153	2	0
meizu	100012	1000165	2	0
vivo	100008	1000016	2	0
samsung	100004	1000142	3	0
vivo	100008	1000014	10	0
huawei	100017	1000289	10	0
vivo	100005	1000038	8	0
apple	100019	1000030	9	0
letv	100017	1000183	2	0
apple	100019	1000035	31	0
cmdc	100013	1000012	1	0
meizu	100014	1001635	1	0
meizu	100015	1000029	1	0
coolpad	100018	1000222	1	0
others	100028	1000220	1	0
xiaomi	100004	1000163	1	0
huawei	100020	1000322	3	0
oppo	100017	1000183	9	0
oppo	100012	1000218	4	0
others	100011	1000087	1	0
samsung	100017	1000128	1	0
apple	100011	1000028	31	0
samsung	100011	1000046	2	0
vivo	100007	-	2	0
sony	100023	1000314	1	0
apple	100019	1000323	7	0
vivo	100022	100022	82	0
yulong	100015	1000008	2	0
apple	100011	1000046	12	0
gionee	100023	-	6	0
oppo	100023	1000213	9	0
oppo	100014	1000215	5	0
apple	100017	1000307	3	0
apple	100023	1000170	3	0
xiaomi	100013	1000114	3	0
oppo	100012	1000071	7	0
others	100016	1000227	6	0
apple	100023	1000191	4	0
huawei	100012	-	31	1
oppo	100021	1000050	12	0
huawei	100004	1000238	1	0
alps	100006	1001590	1	0
apple	100015	1000029	15	0
oppo	100021	1000057	2	0
gionee	100025	1000273	1	0
huawei	100013	1000114	2	0
huawei	100023	1000184	1	0
others	100019	-	17	0
samsung	100031	1000053	1	0
oppo	100011	1000007	26	0
oppo	100011	1000006	14	0
samsung	1	-	4	0
